n	logs.Storm.vi-toposhifted	logs.Storm.ovi-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.Storm.bestshifted	bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
11	0.78	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
12	1.181	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
13	1.362	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
14	1.537	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
15	1.72	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
16	1.723	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
17	1.771	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
18	1.796	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
19	1.836	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
20	1.841	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
21	1.858	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
22	1.881	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
23	1.888	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
24	1.888	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
25	1.938	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
26	1.964	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
27	2.099	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
28	2.114	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
29	2.201	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
30	2.239	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
31	2.276	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
32	2.314	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
33	2.349	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
34	2.538	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
35	2.59	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
36	2.634	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
37	2.661	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
38	2.853	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
39	2.879	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
40	2.905	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
41	2.95	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
42	2.953	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
43	2.969	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
44	2.997	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
45	3.011	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
46	3.053	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
47	3.09	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
48	3.286	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
49	3.489	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
50	3.503	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
51	3.532	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
52	3.538	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
53	3.556	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
54	3.589	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
55	3.604	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
56	3.738	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
57	3.743	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
58	3.761	0.1	0.119	0.1	0.1	0.1	0.1	0.1	0.1
59	3.876	0.1	0.134	0.1	0.1	0.1	0.1	0.1	0.1
60	3.987	0.1	0.155	0.1	0.1	0.1	0.1	0.1	0.1
61	4.005	0.1	0.16	0.1	0.1	0.1	0.1	0.1	0.1
62	4.011	0.1	0.171	0.1	0.1	0.1	0.1	0.1	0.1
63	4.09	0.1	0.192	0.1	0.1	0.1	0.1	0.1	0.1
64	4.127	0.1	0.221	0.1	0.1	0.1	0.1	0.1	0.1
65	4.158	0.1	0.306	0.1	0.1	0.1	0.1	0.1	0.1
66	4.179	0.1	0.521	0.1	0.1	0.1	0.1	0.1	0.1
67	4.322	0.1	30.165	0.1	0.1	0.1	0.1	0.1	0.1
68	4.396	0.1	71.149	0.1	0.1	0.1	0.1	0.1	0.1
69	4.495	0.1	89.334	0.1	0.1	0.1	0.1	0.1	0.1
70	5.307	0.1	114.421	0.1	0.1	0.1	0.1	0.1	0.1
71	5.391	0.1	258.883	0.1	0.1	0.1	0.1	0.1	0.1
72	5.798	0.1	709.287	0.1	0.1	0.1	0.1	0.1	0.1
73	6.552	0.1	780.375	0.1	0.1	0.1	0.1	0.1	0.1
74	6.615	0.1		0.1	0.1	0.1	0.1	0.1	0.1
75	6.735	0.1		0.1	0.1	0.1	0.1	0.1	0.1
76	9.685	0.1		0.1	0.1	0.1	0.1	0.1	0.1
77	51.218	0.1		0.1	0.1	0.1	0.1	0.1	0.1
78	81.91	0.1		0.1	0.1	0.1	0.1	0.1	0.1
79	82.945	0.1		0.1	0.1	0.1	0.1	0.1	0.1
80		0.1		0.1	0.1	0.1	0.1	0.1	0.1
81		0.1		0.1	0.1	0.1	0.1	0.1	0.1
82		0.1		0.1	0.1	0.1	0.1	0.1	0.1
83		0.1		0.1	0.1	0.1	0.1	0.1	0.1
84		0.1		0.1	0.1	0.1	0.1	0.1	0.1
85		0.1		0.1	0.1	0.1	0.1	0.1	0.1
86		0.1		0.1	0.1	0.1	0.1	0.1	0.1
87		0.1		0.1	0.1	0.1	0.1	0.1	0.1
88		0.1		0.1	0.1	0.1	0.1	0.1	0.1
89		0.1		0.1	0.1	0.1	0.1	0.1	0.1
90		0.1		0.1	0.1	0.1	0.105	0.1	0.1
91		0.1		0.1	0.1	0.1	0.117	0.1	0.1
92		0.1		0.1	0.1	0.1	0.12	0.1	0.1
93		0.1		0.1	0.1	0.1	0.147	0.1	0.1
94		0.1		0.1	0.1	0.1	0.175	0.1	0.1
95		0.1		0.1	0.1	0.1	0.195	0.1	0.1
96		0.1		0.1	0.1	0.1	0.196	0.1	0.1
97		0.1		0.1	0.1	0.1	0.473	0.1	0.1
98		0.1		0.1	0.1	0.1	0.831	0.1	0.1
99		0.1		0.1	0.1	0.1	1.515	0.1	0.1
100		0.1		0.1	0.1	0.1	1.876	0.1	0.1
101		0.1		0.1	0.1	0.1	2.829	0.1	0.1
102		0.1		0.1	0.1	0.1	4.211	0.1	0.1
103		0.1		0.1	0.1	0.1	8.954	0.1	0.1
104		0.1		0.1	0.1	0.1	11.497	0.1	0.1
105		0.194		0.1	0.1	0.1	12.539	0.1	0.1
106		0.548		0.1	0.1	0.1	12.558	0.1	0.1
107		1.212		0.1	0.1	0.1	14.996	0.1	0.1
108		3.908		0.1	0.1	0.1	15.713	0.1	0.1
109		4.446		0.1	0.1	0.1	16.162	0.1	0.1
110		4.773		0.1	0.1	0.1	17.478	0.1	0.1
111		9.8		0.1	0.1	0.1	18.151	0.1	0.1
112		18.637		0.1	0.1	0.1	19.691	0.1	0.1
113		23.609		0.1	0.1	0.1	22.459	0.1	0.1
114		45.168		0.1	0.1	0.1	22.754	0.1	0.1
115		68.276		0.1	0.1	0.106	24.275	0.1	0.1
116		283.97		0.1	0.1	0.119	29.999	0.1	0.1
117		604.401		0.1	0.1	0.144	30.015	0.1	0.1
118				0.1	0.1	0.146	31.406	0.1	0.1
119				0.1	0.1	0.148	43.596	0.1	0.1
120				0.1	0.1	0.161	71.652	0.1	0.1
121				0.1	0.1	0.169	88.578	0.1	0.1
122				0.111	0.1	0.178	95.705	0.1	0.1
123				0.113	0.1	0.182		0.1	0.1
124				0.167	0.1	0.208		0.1	0.1
125				0.175	0.137	0.384		0.137	0.137
126				0.218	0.318	0.402		0.175	0.175
127				0.337	0.416	0.422		0.318	0.318
128				0.409	0.416	0.447		0.402	0.402
129				0.43	0.433	0.485		0.409	0.409
130				0.438	0.434	0.547		0.416	0.416
131				0.5	0.709	0.783		0.433	0.433
132				0.752	0.919	0.986		0.709	0.709
133				0.799	0.953	1.008		0.799	0.799
134				0.8	1.014	1.122		0.8	0.8
135				0.923	1.049	1.196		0.919	0.919
136				0.979	1.064	1.247		0.923	0.923
137				1.042	1.152	1.368		1.008	1.008
138				1.056	1.325	1.388		1.014	1.014
139				1.098	1.331	1.414		1.056	1.056
140				1.26	1.35	1.484		1.152	1.152
141				1.432	1.443	1.601		1.325	1.325
142				1.435	1.471	1.817		1.331	1.331
143				1.448	1.627	1.82		1.35	1.35
144				1.449	1.81	1.83		1.368	1.368
145				1.506	1.81	1.842		1.435	1.435
146				1.674	1.86	1.935		1.449	1.449
147				1.9	1.873	2.224		1.81	1.81
148				1.962	2.051	2.263		1.81	1.81
149				2.158	2.137	2.299		1.83	1.83
150				2.186	2.168	2.316		1.842	1.842
151				2.32	2.242	2.475		1.935	1.935
152				2.328	2.322	2.606		2.051	2.051
153				2.353	2.335	2.641		2.168	2.168
154				2.556	2.449	2.796		2.242	2.242
155				2.659	2.546	2.919		2.263	2.263
156				2.673	2.662	2.98		2.299	2.299
157				2.767	2.676	3.76		2.449	2.449
158				2.82	2.79			2.546	2.546
159				2.884	3.659			2.641	2.641
160				2.897				2.662	2.662
161				2.97				2.673	2.673
162				3.018				2.79	2.79
163				3.325				2.884	2.884
164				3.383				3.018	3.018
165				5.728				5.728	5.728
166				6.915				6.915	6.915
167				7.939				7.939	7.939
168				7.94				7.94	7.94
169				8.13				8.13	8.13
170				8.638				8.638	8.638
171				9.464				9.464	9.464
172				10.138				10.138	10.138
173				12.896				12.896	12.896
174				13.751				13.751	13.751
175				14.257				14.257	14.257
176				14.637				14.637	14.637
177				15.504				15.504	15.504
178				16.197				16.197	16.197
179				16.773				16.773	16.773
180				17.79				17.79	17.79
181				18.955				18.955	18.955
182				20.12				20.12	20.12
183				20.869				20.869	20.869
184				25.861				25.861	25.861
185				27.949				27.949	27.949
186				30.164				30.164	30.164
187				31.596				31.596	31.596
188				36.811				36.811	36.811
189				37.606				37.606	37.606
190				47.751				47.751	47.751
191				51.205				51.205	51.205
192				52.123				52.123	52.123
193				54.92				54.92	54.92
194				55.271				55.271	55.271
195				56.393				56.393	56.393
196				56.445				56.445	56.445
197				60.79				60.79	60.79
198				77.744				77.744	77.744
199				85.085				85.085	85.085
200				97.041				97.041	97.041
