benchmark	Type	Orig	Prop	Class	logs.Storm.vi-mono-bfs	logs.Storm.vi-mono-reversebfs	logs.Storm.vi-mono-rnd	logs.Storm.pi-mono-bfs	logs.Storm.pi-mono-reversebfs	logs.Storm.pi-mono-rnd	logs.Storm.lp-mono-bfs	logs.Storm.lp-mono-reversebfs	logs.Storm.lp-mono-rnd	best
airport-mdp.130-130.time_min	mdp	prism	E	mdpgrid	5.653	5.728	13.506	1	2.752	5.8716	170.815	183.101	275.82980000000003	1
airport-mdp.250-250.time_min	mdp	prism	E	mdpgrid	31.745	25.444	108.92660000000001	4.629	33.856	77.0802	724	724	724	4.629
avoid-mdp.15-0.2.goal_max	mdp	prism	P	mdpgridmec	1	1	1.2533999999999998	2.816	3.138	4.0966000000000005	724	724	724	1
avoid-mdp.15-0.2.time_min	mdp	prism	E	mdpgrid	1	1	1.129	724	724	724	724	724	724	1
avoid-mdp.25-0.2.goal_max	mdp	prism	P	mdpgridmec	13.312	14.494	19.5766	33.289	33.094	82.1514	724	724	724	13.312
avoid-mdp.25-0.2.time_min	mdp	prism	E	mdpgrid	6.05	10.009	18.2804	724	724	724	724	724	724	6.05
avoid-mdp.40-0.2.goal_max	mdp	prism	P	mdpgridmec	154.571	185.541	279.7832	388.279	476.735	724	724	724	724	154.571
avoid-mdp.40-0.2.time_min	mdp	prism	E	mdpgrid	68.389	91.606	206.64540000000002	724	724	724	724	724	724	68.389
beb.4-8-7.GaveUp	mdp	modest	P	mdpqvbs	6.08	8.241	17.7994	10.226	11.145	19.9942	16.611	14.603	33.5572	6.08
beb.4-8-7.LineSeized	mdp	modest	P	mdpqvbs	21.502	28.233	92.0518	29.37	31.702	106.324	30.063	34.601	101.14880000000001	21.502
bigmec.100000.prob_max	mdp	prism	P	mdpmec	53.646	93.955	114.54479999999998	724	1	1	1	1	1	1
brp-pta.64-12-32-256.Emin	pta	modest	E	ptaqvbs	51.891	275.831	512	100.015	30.813	189.3028	724	724	724	30.813
brp-pta.64-12-32-256.P_1	pta	modest	P	ptaqvbs	136.556	255.711	512	165.778	120.775	512	724	724	724	120.775
brp-pta.64-12-32-256.P_3	pta	modest	P	ptaqvbs	104.368	235.187	512	127.495	89.44	512	724	724	724	89.44
consensus-mec.4-2.disagree	mdp	prism	P	mdpmec	1	1.672	3.1764	724	453.97	724	114.577	72.4	83.257	1
consensus-mec.4-6.disagree	mdp	prism	P	mdpmec	15.434	61.168	73.02860000000001	724	724	724	143.273	512	512	15.434
consensus.4-4.c2	mdp	prism	P	mdpqvbs	1	1	1	1	1	1.0368	1	1	1	1
consensus.4-4.disagree	mdp	prism	P	mdpqvbs	1	1	1.115	258.843	22.992	128.752	2.315	2.428	2.8524000000000003	1
consensus.6-2.c2	mdp	prism	P	mdpqvbs	3.308	12.543	23.2352	8.342	2.212	8.5456	39.8	724	724	2.212
consensus.6-2.disagree	mdp	prism	P	mdpqvbs	7.933	29.405	49.8472	486.894	291.632	724	78.907	512	724	7.933
consensus.6-2.steps_max	mdp	prism	E	mdpqvbs	16.354	58.852	71.8412	724	724	724	287.921	512	512	16.354
consensus.6-2.steps_min	mdp	prism	E	mdpqvbs	13.842	54.504	106.87039999999999	724	724	724	724	724	724	13.842
csma.3-4.time_max	mdp	prism	E	mdpqvbs	1	1.292	2.9648	1.543	1.326	7.1988	17.323	16.014	36.0214	1
csma.3-4.time_min	mdp	prism	E	mdpqvbs	1.328	1.808	3.4478	2.042	1.582	8.0648	6.734	6.805	17.4112	1.328
csma.4-2.time_min	mdp	prism	E	mdpqvbs	1	1	1.7844000000000002	2.201	1.027	7.139	9.021	10.278	23.339199999999998	1
dpm.4-6-100.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1.716	1	3.7131999999999996	58.308	97.269	90.75460000000001	1
dpm.4-6-25.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1.542	1	3.5114000000000005	55.401	83.199	79.3366	1
dpm.4-6-50.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	1.894	1	3.7016	46.876	89.728	90.1466	1
dpm.6-8-5.PminQueue1Full	ma	modest	P	maqvbs	18.112	36.594	98.0338	724	724	724	724	724	724	18.112
dpm.6-8-5.PminQueuesFull	ma	modest	P	maqvbs	22.048	61.082	130.6444	724	724	724	724	724	724	22.048
evade-mdp.10-0.7.prob_max	mdp	prism	P	mdpgridmec	73.638	94.568	220.7654	82.987	471.317	463.2048	724	724	724	73.638
evade-mdp.8-0.7.prob_max	mdp	prism	P	mdpgridmec	14.263	17.97	39.2164	104.616	186.112	131.3424	724	724	724	14.263
firewire.true-3-600.time_max	mdp	prism	E	mdpqvbs	4.039	4.997	10.9792	3.667	1.173	8.184000000000001	40.135	188.193	26.9822	1.173
firewire.true-3-600.time_sending	mdp	prism	E	mdpqvbs	4.667	6.395	10.541599999999999	3.04	1.36	54.8606	51.923	14.905	18.644	1.36
firewire.true-36-200.time_max	mdp	prism	E	mdpqvbs	16.628	87.175	199.469	39.822	13.007	281.2572	724	724	724	13.007
firewire.true-36-200.time_min	mdp	prism	E	mdpqvbs	9.441	16.243	29.162599999999998	20.666	9.134	36.0574	22.226	24.144	46.677800000000005	9.134
firewire.true-36-200.time_sending	mdp	prism	E	mdpqvbs	12.4	88.619	193.704	26.044	8.404	51.3266	724	724	724	8.404
flexible-manufacturing.21-1.M3Fail_E	ma	greatspn	E	maqvbs	3.147	6.566	10.7294	2.282	1.943	11.8176	724	724	724	1.943
flexible-manufacturing.3-1.M2Fail_E	ma	greatspn	E	maqvbs	724	724	724	1	1	1	1	1	1	1
ftwc.8-5.TimeMax	ma	modest	E	maqvbs	724	724	724	1	1	1	1.029	1.968	5.8688	1
ftwc.8-5.TimeMin	ma	modest	E	maqvbs	724	724	724	1	1	1	1.17	1.238	2.3198	1
intercept-mdp.30-0.0.time_min	mdp	prism	E	mdpgrid	12.179	12.478	17.316	17.459	22.48	25.2816	724	724	724	12.179
intercept-mdp.40-0.0.time_min	mdp	prism	E	mdpgrid	50.267	56.536	72.2924	79.594	289.175	129.4346	724	724	724	50.267
manymecs.10000.prob_max	mdp	prism	P	mdpmec	6.23	7.507	6.820400000000001	1	1	1	3.483	3.804	4.0286	1
manymecs.100000.prob_max	mdp	prism	P	mdpmec	724	724	724	28.209	28.577	39.5304	286.8	268.042	370.66819999999996	28.209
mer.100-0.1.prob_max	mdp	prism	P	mdpmec	1	1	1	1	1	1	1.525	1.379	2.254	1
mer.250-0.1.prob_max	mdp	prism	P	mdpmec	1	1	1	1	1.312	2.7154	5.45	4.89	7.0813999999999995	1
mer.500-0.1.prob_max	mdp	prism	P	mdpmec	1	1	1	3.099	3.775	8.8074	13.914	8.654	19.5754	1
obstacle-mdp.400.steps_min	mdp	prism	E	mdpgrid	1	1	1	724	724	724	69.09	153.973	486.5736	1
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	7.499	7.781	10.3322	724	724	724	724	724	724	7.499
pacman.100.crash	mdp	prism	P	mdpqvbs	4.982	15.155	31.7642	50.799	20.59	105.376	724	724	724	4.982
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	724	1	1	1	1.206	1.255	1.2454	1
random-grid.40-0.3-0.3.time_min	mdp	prism	E	mdpgrid	1	1	1	724	724	724	5.133	5.007	11.5062	1
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	3.393	3.774	5.6288	512	457.25	724	724	724	724	3.393
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	4.463	5.351	10.0078	724	724	724	724	724	724	4.463
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1	3.053	3.9942	1	1	1.1248	188.409	724	229.5558	1
readers-writers.35.exp_time_many_requests	ma	greatspn	E	maqvbs	2.669	10.309	17.487199999999998	4.581	4.477	15.515	724	724	724	2.669
readers-writers.40.exp_time_many_requests	ma	greatspn	E	maqvbs	5.385	15.905	33.7894	8.371	6.422	31.337400000000002	724	724	724	5.385
readers-writers.40.pr_network	ma	greatspn	P	maqvbs	5.864	13.496	26.830000000000002	11.445	12.415	42.302	724	724	724	5.864
refuel-mdp.80-40.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	724	724	724	724	724
resource-gathering.1300-100-100.expsteps	mdp	prism	E	mdpqvbs	2.094	9.19	12.1844	724	724	724	173.042	162.293	202.8112	2.094
resource-gathering.400-30-30.expsteps	mdp	prism	E	mdpqvbs	1	1	1	1.144	724	724	3.226	3.172	3.715	1
sensor.4.max_success	mdp	prism	P	mdpmec	1	1	1	1.574	1	2.4173999999999998	7.656	7.484	11.4512	1
sensor.5.max_success	mdp	prism	P	mdpmec	3.506	4.366	7.140000000000001	31.15	6.608	33.4662	724	724	724	3.506
tireworld.17.goal	mdp	ppddl	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1
wlan-large.2.E_1	pta	modest	E	ptaqvbs	5.771	724	724	4.557	2.852	724	309.416	103.11	334.92359999999996	2.852
wlan-large.2.E_and	pta	modest	E	ptaqvbs	7.163	724	724	3.229	2.958	724	326.195	35.271	157.1824	2.958
wlan-large.2.E_or	pta	modest	E	ptaqvbs	6.75	724	724	3.98	2.81	724	315.224	35.072	70.2558	2.81
wlan-mec.3-0.cost_min	mdp	prism	E	mdpmec	1.904	1.834	4.9976	724	57.739	724	16.257	16.473	37.760400000000004	1.834
wlan-mec.3-0.time_min	mdp	prism	E	mdpmec	2.341	2.295	4.9636000000000005	724	42.485	724	18.447	19.71	36.516	2.295
wlan.5-0.cost_max	mdp	prism	E	mdpqvbs	6.981	14.855	25.428	4.513	3.02	15.913999999999998	4.58	3.722	8.1458	3.02
wlan.5-0.cost_min	mdp	prism	E	mdpqvbs	4.392	4.113	14.0114	2.53	2.509	5.4866	3.531	3.92	7.0994	2.509
wlan.5-0.num_collisions	mdp	prism	E	mdpqvbs	6.125	12.698	24.8626	3.297	2.989	15.6942	4.13	3.635	7.6822	2.989
wlan.6-0.time_max	mdp	prism	E	mdpqvbs	94.247	146.216	328.51279999999997	32.961	11.057	149.74579999999997	18.01	16.171	42.636	11.057
wlan.6-0.time_min	mdp	prism	E	mdpqvbs	34.913	72.878	166.3052	9.951	8.093	23.259800000000002	20.936	21.632	42.318	8.093
zeroconf.1000-8-false.correct_max	mdp	prism	P	mdpqvbs	3.09	4.351	7.4988	724	724	724	724	724	724	3.09
zeroconf.1000-8-false.correct_min	mdp	prism	P	mdpqvbs	1.396	2.677	4.337400000000001	19.857	17.556	25.994400000000002	512	324.268	512	1.396
zeroconf.20-2-false.correct_max	mdp	prism	P	mdpqvbs	1	1	1	724	724	724	1	2.29	1.845	1
zeroconf.20-8-false.correct_max	mdp	prism	P	mdpqvbs	2.674	3.535	7.385	724	724	724	724	724	724	2.674
zeroconf.20-8-false.correct_min	mdp	prism	P	mdpqvbs	1	2.275	3.9188	8.085	7.402	12.601600000000001	429.84	291.111	512	1
